# Rime user dictionary
#@/db_name	rime_ice
#@/db_type	userdb
#@/rime_version	1.8.5
#@/tick	148898
#@/user_id	Mac
B zhan 	B站	c=1 d=1 t=103033
ba gu wen 	八股文	c=3 d=1 t=55371
ba he 	巴赫	c=1 d=1 t=11945
ba ji si tan 	巴基斯坦	c=11 d=1 t=139385
ba jiao 	八角	c=1 d=1 t=62010
ba le 	拔了	c=2 d=1 t=118729
ba le 	罢了	c=6 d=1 t=128776
ba ma 	爸妈	c=9 d=1 t=102033
ba ni 	把你	c=8 d=1 t=142159
ba ni men 	把你们	c=1 d=1 t=135956
ba ren 	把人	c=1 d=1 t=3274
ba ta 	把他	c=4 d=1 t=141404
ba tai 	吧台	c=1 d=1 t=52219
ba tong dao 	八通道	c=1 d=1 t=1598
ba wo 	把我	c=14 d=1.1054 t=145029
ba wo 	把握	c=2 d=1 t=61056
ba wo zhu 	把握住	c=1 d=1 t=75510
ba ya 	拔牙	c=1 d=1 t=47874
ba yin guo 	巴音郭	c=1 d=1 t=146879
ba zhe 	八折	c=2 d=1.93707 t=84975
ba zi mei yi pie 	八字没一撇	c=1 d=1 t=135829
bai 	摆	c=1 d=1 t=72396
bai 	白	c=15 d=1.00045 t=124660
bai 	百	c=6 d=5.92568 t=128023
bai ban 	白板	c=1 d=1 t=16889
bai bi 	败笔	c=1 d=1 t=73144
bai deng 	拜登	c=1 d=1 t=125631
bai du 	百度	c=30 d=1.00037 t=134211
bai feng mu 	白枫木	c=1 d=1 t=93874
bai gei 	白给	c=1 d=1 t=84904
bai gei 	败给	c=1 d=1 t=84903
bai jia zhi yan 	败家之眼	c=1 d=1 t=42379
bai jiu 	白酒	c=1 d=1 t=128211
bai kai 	掰开	c=0 d=0.1 t=11158
bai kai zui 	掰开嘴	c=1 d=1 t=11159
bai ke 	百科	c=1 d=1 t=34908
bai lai yi tang 	白来一趟	c=1 d=1 t=57336
bai lan 	摆烂	c=4 d=1 t=83728
bai le 	败了	c=3 d=1 t=102650
bai li 	百里	c=3 d=1.81465 t=75849
bai lian hua 	白莲花	c=2 d=1.99501 t=805
bai lu 	白鹭	c=1 d=1 t=100605
bai mai 	白买	c=1 d=1 t=16223
bai ming 	百名	c=1 d=1 t=20420
bai ming dan 	白名单	c=2 d=1.00004 t=26721
bai piao 	白嫖	c=14 d=1.00002 t=118606
bai qi 	白起	c=1 d=1 t=138428
bai se 	白色	c=12 d=1 t=148716
bai she 	摆设	c=1 d=1 t=94229
bai sheng qi 	白生气	c=1 d=1 t=66034
bai tan 	摆摊	c=1 d=1 t=42370
bai tian 	白天	c=15 d=1 t=148017
bai wan 	百万	c=3 d=1.93707 t=48202
bai xiang mu 	白橡木	c=1 d=0.951229 t=148898
bai xing 	百姓	c=1 d=1 t=61498
bai yi bu tie 	百亿补贴	c=1 d=1 t=60793
bai zao yin 	白噪音	c=1 d=1 t=106882
bai zhao 	百兆	c=1 d=1 t=50120
bai zhe 	摆着	c=1 d=1 t=139072
bai zhou 	白粥	c=1 d=1 t=841
ban 	伴	c=1 d=1 t=125998
ban 	办	c=4 d=1 t=98259
ban 	半	c=12 d=1 t=148184
ban 	板	c=0 d=0.1 t=9862
ban 	班	c=2 d=1 t=99853
ban bao 	半包	c=1 d=1 t=85027
ban ben 	版本	c=103 d=1.02869 t=148733
ban ben hao 	版本号	c=3 d=1.93239 t=120996
ban cheng pin 	半成品	c=1 d=1 t=92683
ban chu 	搬出	c=1 d=1 t=21540
ban fa 	办法	c=40 d=1.00003 t=148831
ban fan 	拌饭	c=4 d=1 t=124663
ban fen 	半份	c=1 d=1 t=32361
ban ge 	半个	c=2 d=1 t=130129
ban ge ren 	半个人	c=1 d=1 t=140335
ban ge yue 	半个月	c=3 d=0.1 t=124487
ban ge yue mei 	半个月没	c=1 d=1 t=124488
ban gong 	办公	c=3 d=1 t=23000
ban gong chang di 	办公场地	c=1 d=1 t=51076
ban gong shi 	办公室	c=2 d=1 t=38083
ban guan fang 	半官方	c=1 d=1 t=105507
ban hao 	版号	c=3 d=1 t=80851
ban jia 	搬家	c=1 d=1 t=137022
ban jia qian 	搬家前	c=1 d=1 t=21549
ban jiao 	半角	c=1 d=1 t=142742
ban jin ba liang 	半斤八两	c=1 d=1 t=56958
ban jin lai 	搬进来	c=1 d=0.268474 t=148898
ban jue sai 	半决赛	c=1 d=1 t=61053
ban kuai 	板块	c=1 d=1 t=131346
ban li 	办理	c=2 d=1.01357 t=33685
ban lu 	半路	c=1 d=1 t=56148
ban mian 	拌面	c=1 d=1 t=39361
ban nian 	半年	c=15 d=1 t=137430
ban quan 	版权	c=0 d=0.1 t=94670
ban rou 	半肉	c=3 d=2.76535 t=73368
ban tang 	半糖	c=1 d=1 t=9698
ban tian 	半天	c=15 d=1 t=140822
ban tou 	半头	c=1 d=1 t=108631
ban xiao shi 	半小时	c=15 d=1 t=141928
ban xue 	半血	c=2 d=1.73712 t=97886
ban ye 	半夜	c=8 d=1 t=133176
ban zhe chi 	拌着吃	c=1 d=1 t=43349
ban zhuan 	搬砖	c=2 d=1 t=81889
ban zi 	板子	c=5 d=1 t=111250
bang 	帮	c=13 d=1 t=137163
bang bu liao 	帮不了	c=2 d=1.99501 t=11633
bang ding 	绑定	c=18 d=1.7906 t=122583
bang jia 	绑架	c=1 d=1 t=47569
bang mang 	帮忙	c=15 d=0.305746 t=148898
bang mang xie 	帮忙写	c=1 d=1 t=100880
bang ni 	帮你	c=38 d=0.267135 t=148898
bang qiang 	帮腔	c=1 d=0.1 t=110306
bang qiang wo 	帮腔我	c=1 d=1 t=110307
bang ren jia 	帮人家	c=1 d=1 t=4212
bang ta 	帮他	c=2 d=1.78663 t=86986
bang wo 	帮我	c=72 d=1.03996 t=142833
bang wo po 	帮我破	c=1 d=1 t=43885
bang zhu 	帮助	c=7 d=1 t=139024
bang zi 	棒子	c=2 d=1.5966 t=53825
bang zi na 	棒子那	c=1 d=1 t=53826
bao 	包	c=32 d=1 t=141974
bao 	堡	c=3 d=1 t=133520
bao 	宝	c=14 d=1 t=98086
bao 	报	c=4 d=1 t=75842
bao 	暴	c=9 d=1 t=124823
bao 	薄	c=1 d=1 t=73710
bao 	饱	c=3 d=1 t=138194
bao 	鲍	c=2 d=1.59156 t=65530
bao an 	保安	c=2 d=1 t=143071
bao bao 	宝宝	c=2 d=1.49907 t=113502
bao bi 	暴毙	c=2 d=1 t=73367
bao chi 	保持	c=7 d=1.16613 t=120732
bao chi zhu 	保持住	c=1 d=1 t=106870
bao cun 	保存	c=13 d=1 t=146797
bao cuo 	报错	c=6 d=1.49907 t=138360
bao da 	暴打	c=1 d=1 t=99313
bao dao 	报道	c=2 d=1.93239 t=5249
bao de zhu 	保得住	c=1 d=1 t=75507
bao di 	保底	c=4 d=1 t=137630
bao fu 	包袱	c=3 d=1.00009 t=88712
bao fu 	报复	c=1 d=1 t=17978
bao gao 	报告	c=12 d=1.32632 t=96445
bao guan hao 	保管好	c=1 d=1 t=36418
bao guang 	曝光	c=1 d=1 t=31926
bao guang liang 	曝光量	c=1 d=1 t=10567
bao gui 	宝贵	c=1 d=1 t=123285
bao guo 	包裹	c=1 d=0.427415 t=148898
bao han 	包含	c=6 d=1 t=124507
bao hu 	保护	c=6 d=1 t=137655
bao hu ke 	保护壳	c=1 d=1 t=2514
bao hu qi 	保护器	c=1 d=1 t=17043
bao hu qi 	保护期	c=1 d=1 t=17044
bao hu yan jing 	保护眼睛	c=1 d=1 t=97359
bao ji 	暴击	c=1 d=1 t=69656
bao jia 	保价	c=3 d=1 t=95218
bao jia 	报价	c=2 d=1.00053 t=96726
bao jian 	保健	c=1 d=1 t=109446
bao jiang 	包浆	c=1 d=1 t=8888
bao jie 	保洁	c=1 d=1 t=17391
bao ke 	剥壳	c=1 d=1 t=72642
bao ke meng 	宝可梦	c=1 d=1 t=113470
bao kuo 	包括	c=10 d=1 t=138571
bao le 	爆了	c=3 d=1 t=72974
bao le 	饱了	c=2 d=1 t=77418
bao lei 	爆雷	c=1 d=1 t=140170
bao lei ji 	堡垒机	c=3 d=1 t=20769
bao li 	暴利	c=4 d=1 t=118916
bao li 	暴力	c=5 d=1 t=127787
bao liu 	保留	c=4 d=1 t=123034
bao lu 	暴露	c=6 d=1 t=134228
bao lu chu lai 	暴露出来	c=0 d=0.1 t=23888
bao lu chu lai le 	暴露出来了	c=1 d=1 t=23889
bao mo yi 	薄膜衣	c=1 d=1 t=32902
bao mu 	保姆	c=2 d=1.99005 t=88157
bao nian 	包年	c=1 d=1 t=20297
bao nuan 	保暖	c=1 d=1 t=111916
bao qian 	抱歉	c=2 d=1.80252 t=3753
bao sha 	爆杀	c=3 d=1 t=109717
bao shang qu 	报上去	c=1 d=1 t=21083
bao shi 	宝石	c=1 d=1 t=15985
bao shi fu 	鲍师傅	c=1 d=1 t=118977
bao shi jie 	保时捷	c=1 d=1 t=19917
bao shou 	保守	c=1 d=1 t=10476
bao shui 	保税	c=1 d=1 t=81686
bao shui 	报税	c=2 d=1.72615 t=81751
bao wen 	保温	c=1 d=1 t=21304
bao wen ceng 	保温层	c=1 d=1 t=59564
bao xian 	保险	c=12 d=1 t=147099
bao xiao 	报销	c=19 d=1.90032 t=115033
bao xiu 	保修	c=4 d=1 t=134592
bao yang 	保养	c=4 d=1.97531 t=56729
bao yang 	包养	c=1 d=1 t=84190
bao you 	包邮	c=1 d=1 t=60794
bao yu 	暴雨	c=2 d=1 t=50671
bao yuan 	抱怨	c=5 d=1.61679 t=64474
bao yue 	包月	c=1 d=1 t=27737
bao zang 	宝藏	c=3 d=1 t=130474
bao zha 	爆炸	c=3 d=1.53526 t=98002
bao zha tou 	爆炸头	c=2 d=1.99005 t=5935
bao zhe 	抱着	c=1 d=0.50409 t=148898
bao zhen 	抱枕	c=2 d=1.94649 t=30431
bao zheng 	保证	c=8 d=1 t=146625
bao zhi qi 	保质期	c=1 d=1 t=17538
bao zhong 	保重	c=1 d=1 t=53472
bao zhu 	保住	c=1 d=1 t=75544
bao zhuang 	包装	c=5 d=1 t=100691
bao zhuang fei 	包装费	c=1 d=1 t=90631
bao zhun 	保准	c=1 d=1 t=2200
bao zi 	包子	c=4 d=1.91851 t=82591
bei 	倍	c=2 d=1 t=84431
bei 	北	c=3 d=1.69716 t=15124
bei 	呗	c=15 d=1.0016 t=137748
bei 	备	c=2 d=1.81465 t=52332
bei 	杯	c=3 d=2.87255 t=78037
bei 	背	c=8 d=1 t=55014
bei 	被	c=246 d=1.00321 t=148509
bei an 	备案	c=13 d=1 t=102895
bei bu chu 	背不出	c=1 d=1 t=111052
bei cai 	备菜	c=7 d=1.95123 t=142331
bei cai 	被裁	c=2 d=1 t=100175
bei chang 	备尝	c=1 d=1 t=142130
bei chu 	背出	c=2 d=1 t=63861
bei chu 	辈出	c=0 d=0.1 t=24102
bei chu lai dao 	辈出来到	c=1 d=1 t=24103
bei dan 	被单	c=1 d=1 t=30594
bei dao le 	被盗了	c=1 d=1 t=76559
bei dian 	杯垫	c=1 d=1 t=36606
bei diao 	背调	c=1 d=1 t=21069
bei ding yue 	被订阅	c=1 d=1 t=130803
bei dong 	被动	c=3 d=1 t=81857
bei er zi 	被儿子	c=1 d=1 t=77394
bei fa 	被罚	c=1 d=1 t=49628
bei fang 	北方	c=2 d=1 t=84323
bei fen 	备份	c=20 d=1.07009 t=146458
bei fen 	辈分	c=1 d=1 t=94430
bei feng 	被封	c=2 d=1 t=98386
bei gao 	被告	c=1 d=1 t=97162
bei gao feng 	北高峰	c=1 d=1 t=85695
bei guan suo 	悲观锁	c=1 d=1 t=55367
bei guo 	背锅	c=9 d=1 t=145169
bei guo xia 	背锅侠	c=2 d=1.8311 t=89106
bei hou 	背后	c=2 d=1 t=55552
bei jing 	北京	c=10 d=1.04689 t=103510
bei jing 	背景	c=7 d=1 t=107483
bei jing se 	背景色	c=5 d=1.03996 t=132122
bei jing tu 	背景图	c=4 d=2.02175 t=131257
bei jing tu pian 	背景图片	c=1 d=1 t=131232
bei lai 	背来	c=1 d=1 t=31860
bei men 	北门	c=2 d=1 t=27276
bei ni 	被你	c=5 d=1 t=127038
bei ni men 	被你们	c=1 d=1 t=138188
bei pian 	被骗	c=6 d=1.93707 t=104697
bei po 	被迫	c=6 d=1 t=128467
bei qu 	北区	c=1 d=1 t=143492
bei ren 	被人	c=2 d=1 t=49037
bei ruan 	被软	c=1 d=1 t=40751
bei shu 	背书	c=1 d=1 t=58904
bei tai 	备胎	c=1 d=1 t=1161
bei tao 	杯套	c=2 d=1 t=91804
bei tao 	被套	c=2 d=1 t=91805
bei wang lu 	备忘录	c=1 d=1 t=35000
bei wo 	被我	c=10 d=1.16696 t=132833
bei wo 	被窝	c=9 d=1.02051 t=135768
bei xin 	背心	c=3 d=1 t=73305
bei yong 	备用	c=9 d=1.00102 t=147672
bei yong jin 	备用金	c=1 d=1 t=55470
bei yun 	备孕	c=2 d=1 t=54934
bei zhan 	北站	c=1 d=1 t=8742
bei zhan 	备战	c=1 d=1 t=8741
bei zhe 	备着	c=2 d=1 t=61998
bei zhu 	备注	c=3 d=1 t=139515
bei zi 	杯子	c=4 d=1 t=88511
bei zi 	被子	c=2 d=1.02692 t=61015
ben 	奔	c=1 d=1 t=40415
ben 	本	c=2 d=1 t=131216
ben 	笨	c=7 d=1 t=142173
ben bi 	笨比	c=1 d=1 t=108249
ben chi 	奔驰	c=1 d=1 t=11944
ben di 	本地	c=57 d=1.96568 t=148892
ben di hua 	本地化	c=2 d=1 t=112606
ben di ka 	本地卡	c=1 d=1 t=92082
ben di sheng huo 	本地生活	c=1 d=1 t=100718
ben ji 	本机	c=2 d=1 t=97122
ben jia 	本家	c=0 d=0.0557106 t=148898
ben ke 	本科	c=2 d=1.96561 t=46429
ben lai 	本来	c=66 d=1.00085 t=148041
ben lai jiu shao 	本来就少	c=1 d=1 t=32647
ben lei 	本类	c=1 d=1 t=81654
ben liu 	奔流	c=3 d=1.99501 t=100242
ben pao 	奔跑	c=1 d=1 t=101458
ben qun 	本群	c=1 d=1 t=44659
ben sheng 	本省	c=1 d=1 t=37949
ben yue 	本月	c=1 d=1 t=76334
ben zhi 	本职	c=1 d=1 t=74272
ben zhi 	本质	c=1 d=1 t=113843
beng 	崩	c=13 d=1 t=148870
beng beng 	崩崩	c=2 d=1.98511 t=58396
beng huai 	崩坏	c=1 d=1 t=37384
beng le 	崩了	c=7 d=1 t=146447
beng lie 	崩裂	c=1 d=1 t=35505
beng zhu 	绷住	c=2 d=1.99501 t=53882
bi 	币	c=3 d=1 t=91892
bi 	比	c=144 d=0.185444 t=148898
bi 	逼	c=2 d=1 t=85667
bi bu kai 	避不开	c=1 d=1 t=25295
bi bu liao 	比不了	c=1 d=1 t=118353
bi bu shang 	比不上	c=2 d=1 t=92606
bi de 	逼得	c=1 d=1 t=19658
bi duan 	弊端	c=7 d=1 t=109476
bi dui 	比对	c=4 d=3.23409 t=136523
bi ji 	笔记	c=6 d=0.1 t=131214
bi ji ben 	笔记本	c=25 d=1.85642 t=144863
bi jiao 	比较	c=191 d=1 t=148726
bi jiao cha 	比较差	c=1 d=1 t=78325
bi jiao da 	比较大	c=3 d=1 t=134088
bi jiao duo 	比较多	c=3 d=1 t=105216
bi jiao hao 	比较好	c=9 d=1 t=139731
bi jiao ji 	比较急	c=2 d=1 t=104428
bi jiao jiu 	比较久	c=2 d=1 t=9257
bi jiao man 	比较慢	c=2 d=1 t=140031
bi jiao meng 	比较猛	c=1 d=1 t=56675
bi jiao shao 	比较少	c=1 d=1 t=11439
bi jiao xian 	比较闲	c=1 d=1 t=8532
bi jiao xiao 	比较小	c=1 d=1 t=14086
bi jing 	毕竟	c=5 d=1 t=49220
bi ka 	比卡	c=1 d=1 t=89913
bi kai 	避开	c=2 d=1 t=113121
bi keng 	避坑	c=1 d=1 t=133150
bi lai bi qu 	比来比去	c=1 d=1 t=116869
bi lan huan xiang 	碧蓝幻想	c=2 d=1.00005 t=142800
bi li 	比例	c=7 d=2.84771 t=126606
bi meng cheng 	比蒙城	c=1 d=1 t=54272
bi mian 	避免	c=2 d=1 t=95800
bi mu 	闭幕	c=0 d=0.1 t=86798
bi mu yan chu 	闭幕演出	c=1 d=1 t=41384
bi mu yan shen 	闭幕眼神	c=1 d=1 t=86799
bi mu yang shen 	闭目养神	c=2 d=1 t=143495
bi neng 	必能	c=2 d=1 t=88355
bi ni 	比你	c=11 d=1 t=138183
bi ni men 	比你们	c=1 d=1 t=81081
bi qi lai 	比起来	c=1 d=1 t=99689
bi qi ta 	比其他	c=1 d=1 t=37876
bi quan 	币圈	c=1 d=1 t=76554
bi ran 	必然	c=1 d=1 t=49262
bi ru 	比如	c=84 d=1.01699 t=147608
bi sai 	比赛	c=9 d=1 t=72151
bi shang 	闭上	c=1 d=1 t=14607
bi sheng 	毕生	c=1 d=1 t=89215
bi ta 	比他	c=1 d=1 t=106285
bi te bi 	比特币	c=2 d=1 t=125341
bi tuo 	鼻托	c=1 d=1 t=2939
bi wan 	比完	c=1 d=1 t=1244
bi wo 	比我	c=16 d=1 t=136789
bi wo men 	比我们	c=5 d=1 t=118263
bi xu 	必须	c=21 d=1.00059 t=115638
bi xu you 	必须有	c=0 d=0.1 t=65905
bi ya di 	比亚迪	c=1 d=1 t=25109
bi yan 	碧眼	c=1 d=1 t=59156
bi yao 	必要	c=8 d=1 t=136743
bi ye 	毕业	c=2 d=1 t=29766
bi yu 	比喻	c=2 d=1 t=115418
bi yuan 	闭源	c=3 d=1 t=119863
bi yun 	避孕	c=1 d=1 t=55436
bi yun yao 	避孕药	c=1 d=1 t=55430
bi zhe ge 	比这个	c=1 d=1 t=95853
bi zhi 	壁纸	c=5 d=1 t=141129
bi zhong jiu qing 	避重就轻	c=1 d=1 t=35913
bi zi 	鼻子	c=1 d=1 t=3319
bi zou 	逼走	c=1 d=1 t=98805
bi zui 	闭嘴	c=1 d=1 t=41074
bian 	变	c=39 d=1 t=148816
bian 	边	c=18 d=1.98511 t=147906
bian bie 	辨别	c=3 d=1.83946 t=101626
bian cheng 	变成	c=36 d=2.79814 t=145809
bian cheng 	编程	c=56 d=2.80715 t=145807
bian chong bian wan 	边充边玩	c=2 d=1 t=128598
bian de 	变得	c=1 d=1 t=104705
bian di pao 	遍地跑	c=1 d=1 t=79873
bian dong 	变动	c=1 d=1 t=116203
bian duo 	变多	c=1 d=1 t=52099
bian feng 	边锋	c=1 d=1 t=100185
bian fu nv 	蝙蝠女	c=1 d=1 t=135188
bian fu xia 	蝙蝠侠	c=2 d=1 t=125106
bian hao 	编号	c=1 d=1 t=8033
bian hua 	变化	c=3 d=1 t=144224
bian ji 	编辑	c=6 d=1 t=142896
bian ji qi 	编辑器	c=27 d=1.00001 t=148646
bian ji shi 	编辑室	c=1 d=1 t=53566
bian jiao liao 	边角料	c=1 d=1 t=47333
bian kan 	边看	c=1 d=1 t=47514
bian kuang 	边框	c=5 d=1 t=148712
bian le 	变了	c=5 d=1 t=125450
bian li 	遍历	c=1 d=1 t=126804
bian liang 	变量	c=23 d=1.88251 t=146247
bian lu 	编录	c=2 d=1 t=51658
bian lu 	边炉	c=6 d=2.00052 t=63344
bian lu 	边路	c=33 d=1 t=129405
bian lun 	辩论	c=1 d=1 t=35113
bian pai 	编排	c=1 d=1 t=126770
bian pao 	鞭炮	c=2 d=1 t=53210
bian que 	扁鹊	c=8 d=1 t=128646
bian shang 	边上	c=14 d=1 t=132917
bian shao 	变少	c=1 d=1 t=80803
bian tai 	变态	c=1 d=1 t=63008
bian tian 	变天	c=1 d=1 t=100734
bian xian 	变现	c=2 d=1.84789 t=37694
bian xiang 	变相	c=2 d=1 t=117199
bian xiao 	变小	c=1 d=1 t=80665
bian xie 	编写	c=1 d=1 t=115304
bian yi 	编译	c=69 d=1 t=142694
bian yi hao 	编译好	c=1 d=1 t=33853
bian yi qi 	编译器	c=2 d=1 t=120067
bian yi qian 	编译钱	c=1 d=1 t=34765
bian zhi 	编制	c=1 d=1 t=84213
bian zhi nei 	编制内	c=1 d=1 t=84261
biao 	标	c=6 d=1 t=132729
biao 	表	c=3 d=1 t=136455
biao ceng 	表层	c=1 d=1 t=62399
biao cheng 	标称	c=1 d=1 t=86459
biao da 	表达	c=4 d=1 t=126125
biao da qing chu 	表达清楚	c=1 d=1 t=126118
biao dan 	表单	c=2 d=1.93239 t=83008
biao ji 	标记	c=3 d=1 t=111071
biao jiao 	鳔胶	c=1 d=1 t=32636
biao mian 	表面	c=1 d=1 t=45526
biao ming 	表名	c=1 d=1 t=94945
biao qi 	标气	c=1 d=1 t=126995
biao qian 	标签	c=43 d=1 t=145323
biao qian ming 	标签名	c=1 d=1 t=94835
biao qing 	表情	c=2 d=1 t=51955
biao shi 	标识	c=2 d=1 t=124123
biao shi 	表示	c=15 d=1 t=132149
biao ti 	标题	c=6 d=1 t=147207
biao xian 	表现	c=3 d=1 t=91304
biao xian fen 	表现分	c=6 d=1 t=91842
biao yan 	表演	c=2 d=1 t=130250
biao zhi 	标志	c=1 d=1 t=3571
biao zhi wu 	标志物	c=1 d=1 t=21889
biao zhun 	标准	c=2 d=1.79852 t=127262
biao zhun ku 	标准库	c=3 d=1 t=143206
biao zhun tang 	标准糖	c=1 d=1 t=9696
bie 	别	c=169 d=1.76176 t=148898
bie chi 	别吃	c=1 d=1 t=42863
bie chi le 	别吃了	c=1 d=1 t=64085
bie da 	别打	c=1 d=1 t=66532
bie de 	别的	c=6 d=1 t=98241
bie de shi qing 	别的事情	c=1 d=1 t=128853
bie dian 	别点	c=1 d=1 t=43048
bie fan 	别烦	c=1 d=0.100006 t=126058
bie fan le 	别烦了	c=1 d=1 t=126059
bie ji 	别急	c=3 d=1.99501 t=125795
bie jia 	别家	c=1 d=1 t=114630
bie kan 	别看	c=2 d=1 t=94587
bie li 	别理	c=0 d=0.1 t=17996
bie li le 	别理了	c=1 d=1 t=17997
bie luan mai 	别乱买	c=1 d=1 t=9393
bie ma le 	别骂了	c=2 d=1.99501 t=108743
bie mai 	别买	c=1 d=1 t=8408
bie ming 	别名	c=2 d=1.89583 t=114118
bie niu 	别扭	c=2 d=1 t=93254
bie pa 	别怕	c=1 d=1 t=28083
bie peng 	别碰	c=1 d=1 t=96134
